slug,title,type,url,done
"mortgage-overpayment-calculator","Mortgage Overpayment Calculator","calculator","",no
"mortgage-payoff-calculator","Mortgage Payoff Calculator","calculator","",no
"mortgage-points-calculator","Mortgage Points Calculator","calculator","",no
"mortgage-protection-calculator","Mortgage Protection Calculator","calculator","",no
"mortgage-refinance-calculator","Mortgage Refinance Calculator","calculator","",no
"mutual-fund-calculator","Mutual Fund Returns Calculator","calculator","",no
"nps-calculator","NPS Calculator","calculator","",no
"npv-calculator","NPV Calculator","calculator","",no
"net-profit-calculator","Net Profit Calculator","calculator","",no
"net-worth-calculator","Net Worth Calculator","calculator","",no
"options-profit-calculator","Options Profit Calculator","calculator","",no
"overtime-calculator","Overtime Pay Calculator","calculator","",no
"pmi-calculator","PMI Calculator","calculator","",no
"ppf-calculator","PPF Calculator","calculator","",no
"pay-raise-calculator","Pay Raise Calculator","calculator","",no
"payback-period-calculator","Payback Period Calculator","calculator","",no
"paycheck-calculator","Paycheck Calculator","calculator","",no
"payroll-tax-calculator","Payroll Tax Calculator","calculator","",no
"pension-calculator","Pension Calculator","calculator","",no
"percentage-calculator","Percentage Calculator","calculator","",no
"percentage-change-calculator","Percentage Change Calculator","calculator","",no
"personal-loan-calculator","Personal Loan Calculator","calculator","",no
"pip-calculator","Pip Calculator","calculator","",no
"portfolio-return-calculator","Portfolio Return Calculator","calculator","",no
"present-value-calculator","Present Value Calculator","calculator","",no
"pro-rata-salary-calculator","Pro Rata Salary Calculator","calculator","",no
"profit-margin-calculator","Profit Margin Calculator","calculator","",no
"profit-margin-tax-calculator","Profit Margin With Tax Calculator","calculator","",no
"property-tax-calculator","Property Tax Calculator","calculator","",no
"property-tax-estimator","Property Tax Estimator","calculator","",no
"purchasing-power-calculator","Purchasing Power Calculator","calculator","",no
"rmd-calculator","RMD Calculator","calculator","",no
"roi-calculator","ROI Calculator","calculator","",no
"real-interest-rate-calculator","Real Interest Rate Calculator","calculator","",no
"real-vs-nominal-calculator","Real vs Nominal Return Calculator","calculator","",no
"rd-calculator","Recurring Deposit Calculator","calculator","",no
"rent-affordability-calculator","Rent Affordability Calculator","calculator","",no
"rent-increase-calculator","Rent Increase Calculator","calculator","",no
"rent-split-calculator","Rent Split Calculator","calculator","",no
"rent-vs-buy-calculator","Rent vs Buy Calculator","calculator","",no
"retirement-calculator","Retirement Calculator","calculator","",no
"retirement-corpus-calculator","Retirement Corpus Calculator","calculator","",no
"retirement-savings-calculator","Retirement Savings Calculator","calculator","",no
"retirement-withdrawal-calculator","Retirement Withdrawal Calculator","calculator","",no
"reverse-mortgage-calculator","Reverse Mortgage Calculator","calculator","",no
"risk-reward-calculator","Risk Reward Ratio Calculator","calculator","",no
"roth-ira-calculator","Roth IRA Calculator","calculator","",no
"rule-of-72-calculator","Rule of 72 Calculator","calculator","",no
"sip-calculator","SIP Calculator","calculator","/calculators/sip-calculator",yes
"stp-calculator","STP Calculator","calculator","",no
"swp-calculator","SWP Calculator","calculator","",no
"salary-calculator","Salary Calculator","calculator","",no
"salary-increment-calculator","Salary Increment Calculator","calculator","",no
"salary-inflation-calculator","Salary Inflation Calculator","calculator","",no
"salary-to-hourly-calculator","Salary to Hourly Calculator","calculator","",no
"sales-revenue-calculator","Sales Revenue Calculator","calculator","",no
"sales-tax-calculator","Sales Tax Calculator","calculator","",no
"savings-calculator","Savings Calculator","calculator","",no
"savings-goal-calculator","Savings Goal Calculator","calculator","",no
"savings-rate-calculator","Savings Rate Calculator","calculator","",no
"scholarship-savings-calculator","Scholarship Savings Calculator","calculator","",no
"second-mortgage-calculator","Second Mortgage Calculator","calculator","",no
"self-employment-tax-calculator","Self Employment Tax Calculator","calculator","",no
"severance-pay-calculator","Severance Pay Calculator","calculator","",no
"simple-interest-calculator","Simple Interest Calculator","calculator","/calculators/simple-interest-calculator",yes
"sinking-fund-calculator","Sinking Fund Calculator","calculator","",no
"social-security-calculator","Social Security Calculator","calculator","",no
"split-bill-calculator","Split Bill Calculator","calculator","",no
"staking-calculator","Staking Rewards Calculator","calculator","",no
"stamp-duty-calculator","Stamp Duty Calculator","calculator","",no
"stock-average-calculator","Stock Average Calculator","calculator","",no
"stock-profit-calculator","Stock Profit Calculator","calculator","",no
"stock-return-calculator","Stock Return Calculator","calculator","",no
"student-budget-calculator","Student Budget Calculator","calculator","",no
